# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:16:36 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
ERS1066729	ERS1066656	1.16e-03	0.94	msp_0017,msp_0019,msp_0034,msp_0035,msp_0047,msp_0057,msp_0095,msp_0160,msp_0184,msp_0220,msp_0258,msp_0286,msp_0307,msp_0709,msp_0753,msp_1024
ERS1066705	ERS1066651	1.14e-03	0.97	msp_0168,msp_0170,msp_0294,msp_0376,msp_0398,msp_0481,msp_0578,msp_0594,msp_0685,msp_0709,msp_0985,msp_1180,msp_1434
ERS1066725	ERS1066701	1.08e-03	1.0	msp_0127,msp_0144,msp_0169,msp_0173,msp_0205,msp_0206,msp_0290,msp_0294,msp_0311,msp_0416,msp_0441,msp_0465,msp_0521,msp_0537,msp_0555,msp_0642,msp_0854,msp_0872,msp_1016
ERS1066685	ERS1066679	1.07e-03	0.82	msp_0013,msp_0025,msp_0029,msp_0071,msp_0129,msp_0250,msp_0357,msp_0529,msp_0546,msp_0835,msp_0964,msp_1033
ERS1066717	ERS1066652	9.88e-04	0.63	msp_0026,msp_0029,msp_0031,msp_0087,msp_0147,msp_0221,msp_0327,msp_0554,msp_0639,msp_0722
ERS1066678	ERS1066654	9.40e-04	0.71	msp_0020,msp_0040,msp_0183,msp_0254,msp_0268,msp_0455,msp_0625,msp_0642,msp_1964
ERS1066693	ERS1066696	8.48e-04	0.78	msp_0010,msp_0013,msp_0034,msp_0046,msp_0059,msp_0074,msp_0077,msp_0152,msp_0196,msp_0208,msp_0280,msp_0296,msp_0301,msp_0388
ERS1066654	ERS1066678	8.45e-04	0.66	msp_0029,msp_0030,msp_0047,msp_0081,msp_0130,msp_0227,msp_0250,msp_0304,msp_0376,msp_0438,msp_0481,msp_1737
ERS1066728	ERS1066696	6.71e-04	1.0	msp_0029,msp_0031,msp_0036,msp_0040,msp_0042,msp_0046,msp_0076,msp_0077,msp_0081,msp_0095,msp_0152,msp_0208,msp_0250,msp_0285,msp_0538,msp_0639,msp_0642,msp_0903
ERS1066636	ERS1066736	6.06e-04	0.65	msp_0031,msp_0285,msp_0291,msp_0346,msp_0388,msp_0457,msp_0490,msp_0650,msp_0753,msp_0763,msp_0893,msp_0903,msp_0917
ERS1066670	ERS1066727	5.60e-04	0.74	msp_0013,msp_0040,msp_0045,msp_0062,msp_0124,msp_0130,msp_0152,msp_0164,msp_0206,msp_0271,msp_0301,msp_0346,msp_0572,msp_0786
ERS1066724	ERS1066650	5.13e-04	0.59	msp_0027,msp_0031,msp_0034,msp_0040,msp_0059,msp_0130,msp_0206,msp_0271,msp_0786
ERS1066652	ERS1066723	4.99e-04	0.51	msp_0007,msp_0025,msp_0125,msp_0161,msp_0163,msp_0236,msp_0246,msp_0261,msp_0277,msp_0648,msp_0841
ERS1066670	ERS1066718	4.88e-04	0.98	msp_0013,msp_0015,msp_0017,msp_0040,msp_0042,msp_0045,msp_0050,msp_0072,msp_0077,msp_0087,msp_0130,msp_0206,msp_0271,msp_0346,msp_0786
ERS1066723	ERS1066668	4.86e-04	0.99	msp_0018,msp_0052,msp_0103,msp_0131,msp_0153,msp_0182,msp_0232,msp_0233,msp_0625,msp_0706,msp_0768,msp_1718
ERS1066708	ERS1066650	4.81e-04	0.56	msp_0008,msp_0053,msp_0059,msp_0130,msp_0184,msp_0312,msp_0811,msp_0839,msp_0859,msp_0962,msp_1066
ERS1066652	ERS1066704	4.79e-04	0.51	msp_0010,msp_0025,msp_0041,msp_0069,msp_0076,msp_0125,msp_0152,msp_0161,msp_0261,msp_0277,msp_0484,msp_0538,msp_0648,msp_0841
ERS1066729	ERS1066685	4.73e-04	0.77	msp_0035,msp_0047,msp_0095,msp_0184,msp_0222,msp_0271,msp_0306,msp_0709,msp_0782,msp_1024
