id_mgs	MQB_005	MQB_014	MQB_023	MQB_032	MQB_041	MQB_059	MQB_068	MQB_086	MQB_095	MQB_005_l2	MQB_014_l3	MQB_023_l2	MQB_032_l2	MQB_059_l2	MQB_068_l2	MQB_086_l2	MQB_095_l2
"msp_0423"	0	0	0	1.7456997771558104e-4	3.534194290329927e-4	2.0270912829259852e-4	0	0	0	8.561288015402648e-6	0	0	1.4808634375723754e-4	1.511907359263691e-4	0	0	0
"msp_0424"	7.293711288077329e-5	0	0	2.5806766086545763e-4	1.1835265157735883e-4	5.036866710318996e-5	7.375487078323595e-5	3.208865541307549e-5	0	8.38756485489689e-5	0	5.311560503199336e-6	2.818170007721156e-4	6.085173340252766e-5	7.98498828397096e-5	5.26474209930891e-5	8.82147027614938e-6
"msp_0425"	0	0.0010319472792758415	0	0	0.001865657457532195	0	0	0	0.001338028768002328	0	8.976069023612804e-4	2.7279397778067315e-5	0	0	0	0	0.0012281942680241094
"msp_0426"	0.011138519723901091	0	0	0	0	0	0	0	0	0.011096867904252638	0	0	0	2.044336234288599e-4	0	1.0333172852597196e-4	0
"msp_0427"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0428"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0429"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0430"	0	0	0	0.0012904290622751603	3.1615306229542604e-4	2.0111121179408465e-5	2.609359597710958e-4	0	0	0	0	0	0.0011998329987978659	2.2265478032250914e-5	2.3301129402162924e-4	0	3.9607106949776436e-5
"msp_0431"	0	0	0	0	0	0	0	0.006185693756093221	0	0	0	0	0	0	0	0.006393727313449068	0
"msp_0432"	7.355956523582649e-5	0	0	0	0	0	7.746125122463107e-5	0	0	1.1045450860760183e-4	0	0	0	7.054793652450103e-6	6.649076866252223e-5	0	0
"msp_0433"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
